cikkszam;nev;ar_eur;listaar_eur;akcios;kedvezmeny_szazalek;keszleten;keszlet_szoveg;suly_gramm;gyarto;url;kep;utolso_modositas
291001791;Ganzgarage für Wohnwagen Größe M 520x225x220 cm wasserdicht aus Vliesstoff;115.95;154.6;True;25.0;False;elfogyott;4000;ECD Germany;https://www.ecdgermany.de/products/291001791-ganzgarage-fur-wohnwagen-grosse-m-520x225x220-cm-wasserdicht-aus-vliesstoff;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/GG6_det_2_3c44ea62-77a6-44e8-885f-db66ee240577.jpg?v=1786634309;2026-09-04T10:48:04+02:00
291001792;Ganzgarage für Wohnwagen Größe L 580x225x220 cm wasserdicht aus Vliesstoff;118.95;158.6;True;25.0;False;elfogyott;6600;ECD Germany;https://www.ecdgermany.de/products/291001792-ganzgarage-fur-wohnwagen-grosse-l-580x225x220-cm-wasserdicht-aus-vliesstoff;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/GG6_det_2_c95930dc-6a36-42aa-b98d-537c419fbc1f.jpg?v=1786634309;2026-09-04T10:48:11+02:00
291001793;Ganzgarage für Wohnwagen Größe XXL 700x225x220 cm wasserdicht aus Vliesstoff;124.95;166.6;True;25.0;False;elfogyott;8000;ECD Germany;https://www.ecdgermany.de/products/291001793-ganzgarage-fur-wohnwagen-grosse-xxl-700x225x220-cm-wasserdicht-aus-vliesstoff;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/GG6_det_2_1c56d824-847a-4efe-8950-75ad1a9f328a.jpg?v=1786634310;2026-09-04T10:48:11+02:00
291001889;Badheizkörper Handtuchheizkörper Sahara gebogen mit Mittelanschluss LuxeBath - Anthrazit / 600x800 mm;143.37;191.16;True;25.0;False;elfogyott;14660;LuxeBath;https://www.ecdgermany.de/products/p291005209-badheizkorper-handtuchheizkorper-sahara-gebogen-mit-mittelanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_anthrazit_mittel_60x180_38dc3fac-479a-4133-80f7-7fa2f67bbe2b.jpg?v=1786643581;2026-09-04T10:47:50+02:00
291001890;Badheizkörper Sahara 400x1200 mm Weiß gerade mit Seitenanschluss;49.13;65.51;True;25.0;True;készleten;6790;LuxeBath;https://www.ecdgermany.de/products/291001890-badheizkorper-sahara-400x1200-mm-weiss-gerade-mit-seitenanschluss;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_weiss_einzel_40x120_9bcb142e-f178-42be-8736-9163ce9d9cfb.jpg?v=1786634310;2026-09-04T10:47:47+02:00
291001892;Badheizkörper Sahara 400x800 mm weiß gerade mit Seitenanschluss;39.48;52.64;True;25.0;True;készleten;4620;LuxeBath;https://www.ecdgermany.de/products/291001892-badheizkorper-sahara-400x800-mm-weiss-gerade-mit-seitenanschluss;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_weiss_einzel_40x80_3a2e3667-b560-48a4-a53f-995775be88bf.jpg?v=1786634326;2026-09-04T10:47:47+02:00
291001894;Badheizkörper Sahara 500x1800 mm Weiß gerade mit Seitenanschluss;133.34;177.79;True;25.0;True;készleten;11460;LuxeBath;https://www.ecdgermany.de/products/291001894-badheizkorper-sahara-500x1800-mm-weiss-gerade-mit-seitenanschluss;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_weiss_einzel_50x180_de368ed7-de15-4425-8da5-92f0b86dd672.jpg?v=1786634326;2026-09-04T10:47:47+02:00
291001895;Badheizkörper Sahara 600x1200 mm weiß gerade mit Seitenanschluss;56.36;75.15;True;25.0;True;készleten;8840;LuxeBath;https://www.ecdgermany.de/products/291001895-badheizkorper-sahara-600x1200-mm-weiss-gerade-mit-seitenanschluss;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_weiss_einzel_60x120_dbe8e90b-bb6c-4a9e-9a35-b5dc360c3d92.jpg?v=1786634326;2026-09-04T10:47:47+02:00
291001897;Badheizkörper Sahara 600x1800 mm weiß gerade mit Seitenanschluss;134.64;179.52;True;25.0;True;készleten;12960;LuxeBath;https://www.ecdgermany.de/products/291001897-badheizkorper-sahara-600x1800-mm-weiss-gerade-mit-seitenanschluss;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_weiss_einzel_60x180_d6c3b62e-c681-4de2-b5fe-926ccb338078.jpg?v=1786634330;2026-09-04T10:48:07+02:00
291001898;Badheizkörper Sahara 600x800 mm Weiß gerade mit Seitenanschluss LuxeBath;52.06;69.41;True;25.0;True;készleten;6200;LuxeBath;https://www.ecdgermany.de/products/291001898-badheizkorper-sahara-600x800-mm-weiss-gerade-mit-seitenanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_weiss_einzel_60x80_bab9875d-52b0-45a4-99f8-11bafa211df7.jpg?v=1786634327;2026-09-04T10:47:47+02:00
291001900;Badheizkörper Handtuchheizkörper Sahara gebogen mit Seitenanschluss LuxeBath - Weiß / 600x1200 mm;59.99;79.99;True;25.0;True;készleten;8840;LuxeBath;https://www.ecdgermany.de/products/p291001900-badheizkorper-handtuchheizkorper-sahara-gebogen-mit-seitenanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_anthrazit_einzel_40x80_d45bc110-7acf-48f4-8a8e-b6e9badeb86c.jpg?v=1786634378;2026-09-04T10:47:43+02:00
291001901;Badheizkörper Handtuchheizkörper Sahara gebogen mit Seitenanschluss LuxeBath - Weiß / 500x800 mm;39.08;52.11;True;25.0;True;készleten;5320;LuxeBath;https://www.ecdgermany.de/products/p291001900-badheizkorper-handtuchheizkorper-sahara-gebogen-mit-seitenanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_anthrazit_einzel_40x80_d45bc110-7acf-48f4-8a8e-b6e9badeb86c.jpg?v=1786634378;2026-09-04T10:47:43+02:00
291001902;Badheizkörper Handtuchheizkörper Sahara gebogen mit Seitenanschluss LuxeBath - Weiß / 500x1800 mm;127.81;170.41;True;25.0;True;készleten;11460;LuxeBath;https://www.ecdgermany.de/products/p291001900-badheizkorper-handtuchheizkorper-sahara-gebogen-mit-seitenanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_anthrazit_einzel_40x80_d45bc110-7acf-48f4-8a8e-b6e9badeb86c.jpg?v=1786634378;2026-09-04T10:47:43+02:00
291001903;Badheizkörper Sahara 600x1800 mm Anthrazit gerade mit Mittelanschluss LuxeBath;137.41;183.21;True;25.0;False;elfogyott;13090;LuxeBath;https://www.ecdgermany.de/products/291001903-badheizkorper-sahara-600x1800-mm-anthrazit-gerade-mit-mittelanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_anthrazit_mittel_60x180_473c36de-2afb-43e4-b033-103a203d769b.jpg?v=1786643538;2026-09-04T10:47:55+02:00
291001904;Badheizkörper Handtuchheizkörper Sahara gebogen mit Mittelanschluss LuxeBath - Chrom / 500x1800 mm;195.36;260.48;True;25.0;False;elfogyott;11460;LuxeBath;https://www.ecdgermany.de/products/p291005209-badheizkorper-handtuchheizkorper-sahara-gebogen-mit-mittelanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_anthrazit_mittel_60x180_38dc3fac-479a-4133-80f7-7fa2f67bbe2b.jpg?v=1786643581;2026-09-04T10:47:50+02:00
291001905;Badheizkörper Handtuchheizkörper Sahara gebogen mit Mittelanschluss LuxeBath - Chrom / 600x1800 mm;194.97;259.96;True;25.0;False;elfogyott;14660;LuxeBath;https://www.ecdgermany.de/products/p291005209-badheizkorper-handtuchheizkorper-sahara-gebogen-mit-mittelanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_anthrazit_mittel_60x180_38dc3fac-479a-4133-80f7-7fa2f67bbe2b.jpg?v=1786643581;2026-09-04T10:47:50+02:00
291001906;Badheizkörper Sahara 600x1800 mm Chrome gerade mit Mittelanschluss;191.61;255.48;True;25.0;False;elfogyott;14520;LuxeBath;https://www.ecdgermany.de/products/291001906-badheizkorper-sahara-600x1800-mm-chrome-gerade-mit-mittelanschluss;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_chrome_mittel_60x180_cf056487-b5d1-4de8-8f34-9cbb6b95d551.jpg?v=1786643575;2026-09-04T10:47:55+02:00
291001907;Badheizkörper Handtuchheizkörper Sahara gebogen mit Mittelanschluss LuxeBath - Weiß / 500x1200 mm;64.98;86.64;True;25.0;True;készleten;8820;LuxeBath;https://www.ecdgermany.de/products/p291005209-badheizkorper-handtuchheizkorper-sahara-gebogen-mit-mittelanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_anthrazit_mittel_60x180_38dc3fac-479a-4133-80f7-7fa2f67bbe2b.jpg?v=1786643581;2026-09-04T10:47:50+02:00
291001909;Badheizkörper Handtuchheizkörper Sahara gebogen mit Mittelanschluss LuxeBath - Weiß / 500x1800 mm;136.29;181.72;True;25.0;False;elfogyott;11460;LuxeBath;https://www.ecdgermany.de/products/p291005209-badheizkorper-handtuchheizkorper-sahara-gebogen-mit-mittelanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_anthrazit_mittel_60x180_38dc3fac-479a-4133-80f7-7fa2f67bbe2b.jpg?v=1786643581;2026-09-04T10:47:50+02:00
291001910;Badheizkörper Handtuchheizkörper Sahara gebogen mit Mittelanschluss LuxeBath - Weiß / 500x800 mm;50.93;67.91;True;25.0;False;elfogyott;5320;LuxeBath;https://www.ecdgermany.de/products/p291005209-badheizkorper-handtuchheizkorper-sahara-gebogen-mit-mittelanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_anthrazit_mittel_60x180_38dc3fac-479a-4133-80f7-7fa2f67bbe2b.jpg?v=1786643581;2026-09-04T10:47:50+02:00
291001911;Badheizkörper Handtuchheizkörper Sahara gebogen mit Mittelanschluss LuxeBath - Weiß / 600x1200 mm;66.17;88.23;True;25.0;True;készleten;8840;LuxeBath;https://www.ecdgermany.de/products/p291005209-badheizkorper-handtuchheizkorper-sahara-gebogen-mit-mittelanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_anthrazit_mittel_60x180_38dc3fac-479a-4133-80f7-7fa2f67bbe2b.jpg?v=1786643581;2026-09-04T10:47:50+02:00
291001922;Badheizkörper Mittelanschluss 500x1200 mm Weiß gerade inkl. Montagematerial LuxeBath;57.26;76.35;True;25.0;True;készleten;8820;LuxeBath;https://www.ecdgermany.de/products/291001922-badheizkorper-mittelanschluss-500x1200-mm-weiss-gerade-inkl-montagematerial-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_weiss_mittel_50x120_c66f5cd7-4bc2-4da8-bd20-12c96442b61b.jpg?v=1786643544;2026-09-04T10:47:55+02:00
291001924;Badheizkörper Mittelanschluss 500x1800 mm Weiß gerade inkl. Montagematerial LuxeBath;132.04;176.05;True;25.0;True;készleten;11460;LuxeBath;https://www.ecdgermany.de/products/291001924-badheizkorper-mittelanschluss-500x1800-mm-weiss-gerade-inkl-montagematerial-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_weiss_mittel_50x180_6c91abe6-0209-43a5-8e35-9dcd123d3735.jpg?v=1786643547;2026-09-04T10:47:44+02:00
291001925;Badheizkörper Sahara 500x800 mm Weiß gerade mit Mittelanschluss;44.26;59.01;True;25.0;True;készleten;5320;LuxeBath;https://www.ecdgermany.de/products/291001925-badheizkorper-sahara-500x800-mm-weiss-gerade-mit-mittelanschluss;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_weiss_mittel_50x80_ea3ac868-ac3c-4cbd-ad46-f47b7bddd717.jpg?v=1786634328;2026-09-04T10:48:14+02:00
291001926;Badheizkörper Sahara 600x1200 mm weiß gerade mit Mittelanschluss;64.18;85.57;True;25.0;True;készleten;8840;LuxeBath;https://www.ecdgermany.de/products/291001926-badheizkorper-sahara-600x1200-mm-weiss-gerade-mit-mittelanschluss;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_weiss_mittel_60x120_f2b495b9-eee5-4607-ae77-880b9fac2369.jpg?v=1786643587;2026-09-04T10:47:47+02:00
291001928;Badheizkörper Sahara 600x1800 mm weiß gerade mit Mittelanschluss;149.87;199.83;True;25.0;True;készleten;13090;LuxeBath;https://www.ecdgermany.de/products/291001928-badheizkorper-sahara-600x1800-mm-weiss-gerade-mit-mittelanschluss;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_weiss_mittel_60x180_40a7c520-89c4-431b-bdd0-f059aff8c451.jpg?v=1786643589;2026-09-04T10:47:47+02:00
291001984;Badheizkörper Mittelanschluss 300x800 mm Chrome gerade inkl. Montagematerial LuxeBath;62.08;82.77;True;25.0;False;elfogyott;3910;LuxeBath;https://www.ecdgermany.de/products/291001984-badheizkorper-mittelanschluss-300x800-mm-chrome-gerade-inkl-montagematerial-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_chrome_mittel_30x80_b9dda0dd-143f-49d9-92cd-3e69a0a189b6.jpg?v=1786643600;2026-09-04T10:47:55+02:00
291001985;Badheizkörper Sahara 300x800 mm Chrome gerade mit Seitenanschluss;49.72;66.29;True;25.0;True;készleten;3910;LuxeBath;https://www.ecdgermany.de/products/291001985-badheizkorper-sahara-300x800-mm-chrome-gerade-mit-seitenanschluss;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_chrome_einzel_30x80_235aa16c-5b0c-4ccf-b83b-8911386874a3.jpg?v=1786634328;2026-09-04T10:47:47+02:00
291001990;Badheizkörper Mittelanschluss 300x800 mm Weiß gerade inkl. Montagematerial LuxeBath;35.55;47.4;True;25.0;True;készleten;3910;LuxeBath;https://www.ecdgermany.de/products/291001990-badheizkorper-mittelanschluss-300x800-mm-weiss-gerade-inkl-montagematerial-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_weiss_mittel_30x80_6341602b-75eb-450f-8427-03986b60d52a.jpg?v=1786634329;2026-09-04T10:47:47+02:00
291001991;Badheizkörper Sahara 300x800 mm Weiß gerade mit Seitenanschluss LuxeBath;34.35;45.8;True;25.0;True;készleten;3180;LuxeBath;https://www.ecdgermany.de/products/291001991-badheizkorper-sahara-300x800-mm-weiss-gerade-mit-seitenanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_weiss_einzel_30x80_5a2a9a71-5db0-4f6c-8403-bc15ed401c04.jpg?v=1786642107;2026-09-04T10:47:47+02:00
291001997;Badheizkörper Mittelanschluss 400x800 mm Weiß gerade inkl. Montagematerial LuxeBath;43.99;58.65;True;25.0;True;készleten;4620;LuxeBath;https://www.ecdgermany.de/products/291001997-badheizkorper-mittelanschluss-400x800-mm-weiss-gerade-inkl-montagematerial-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_weiss_mittel_40x80_5e1ccfa5-a3c0-4249-a4a8-e1ecc12b285e.jpg?v=1786634331;2026-09-04T10:47:47+02:00
291001999;Badheizkörper Handtuchheizkörper Sahara gebogen mit Mittelanschluss LuxeBath - Weiß / 400x800 mm;46.95;62.6;True;25.0;False;elfogyott;4620;LuxeBath;https://www.ecdgermany.de/products/p291005209-badheizkorper-handtuchheizkorper-sahara-gebogen-mit-mittelanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_anthrazit_mittel_60x180_38dc3fac-479a-4133-80f7-7fa2f67bbe2b.jpg?v=1786643581;2026-09-04T10:47:50+02:00
291002001;Badheizkörper Handtuchheizkörper Sahara gebogen mit Seitenanschluss LuxeBath - Weiß / 400x800 mm;40.46;53.95;True;25.0;True;készleten;4620;LuxeBath;https://www.ecdgermany.de/products/p291001900-badheizkorper-handtuchheizkorper-sahara-gebogen-mit-seitenanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_anthrazit_einzel_40x80_d45bc110-7acf-48f4-8a8e-b6e9badeb86c.jpg?v=1786634378;2026-09-04T10:47:43+02:00
291002004;Badheizkörper Sahara 400x800 mm chrome gerade mit Seitenanschluss;54.18;72.24;True;25.0;True;készleten;4840;LuxeBath;https://www.ecdgermany.de/products/291002004-badheizkorper-sahara-400x800-mm-chrome-gerade-mit-seitenanschluss;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_chrome_einzel_40x80_f37d08d8-632b-4451-af7f-639dd4e04694.jpg?v=1786634332;2026-09-04T10:47:47+02:00
291002006;Badheizkörper Handtuchheizkörper Sahara gebogen mit Seitenanschluss LuxeBath - Chrom / 400x800 mm;53.54;71.39;True;25.0;True;készleten;4620;LuxeBath;https://www.ecdgermany.de/products/p291001900-badheizkorper-handtuchheizkorper-sahara-gebogen-mit-seitenanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_anthrazit_einzel_40x80_d45bc110-7acf-48f4-8a8e-b6e9badeb86c.jpg?v=1786634378;2026-09-04T10:47:43+02:00
291002008;Badheizkörper Handtuchheizkörper Sahara gebogen mit Mittelanschluss LuxeBath - Chrom / 400x800 mm;63.99;85.32;True;25.0;False;elfogyott;4620;LuxeBath;https://www.ecdgermany.de/products/p291005209-badheizkorper-handtuchheizkorper-sahara-gebogen-mit-mittelanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_anthrazit_mittel_60x180_38dc3fac-479a-4133-80f7-7fa2f67bbe2b.jpg?v=1786643581;2026-09-04T10:47:50+02:00
291002030;Badheizkörper Mittelanschluss 400x1200 mm Weiß gerade inkl. Montagematerial LuxeBath;57.77;77.03;True;25.0;True;készleten;6790;LuxeBath;https://www.ecdgermany.de/products/291002030-badheizkorper-mittelanschluss-400x1200-mm-weiss-gerade-inkl-montagematerial-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_weiss_mittel_40x120_66f851d0-fc42-4e22-9dd1-d87681d3502c.jpg?v=1786634332;2026-09-04T10:47:47+02:00
291002031;Badheizkörper Handtuchheizkörper Sahara gebogen mit Mittelanschluss LuxeBath - Weiß / 400x1200 mm;58.84;78.45;True;25.0;True;készleten;6790;LuxeBath;https://www.ecdgermany.de/products/p291005209-badheizkorper-handtuchheizkorper-sahara-gebogen-mit-mittelanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_anthrazit_mittel_60x180_38dc3fac-479a-4133-80f7-7fa2f67bbe2b.jpg?v=1786643581;2026-09-04T10:47:50+02:00
291002032;Badheizkörper Handtuchheizkörper Sahara gebogen mit Seitenanschluss LuxeBath - Weiß / 400x1200 mm;53.43;71.24;True;25.0;True;készleten;6790;LuxeBath;https://www.ecdgermany.de/products/p291001900-badheizkorper-handtuchheizkorper-sahara-gebogen-mit-seitenanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_anthrazit_einzel_40x80_d45bc110-7acf-48f4-8a8e-b6e9badeb86c.jpg?v=1786634378;2026-09-04T10:47:43+02:00
291002035;Badheizkörper Sahara 300x1800 mm chrome gerade mit Seitenanschluss;134.99;179.99;True;25.0;False;elfogyott;7880;LuxeBath;https://www.ecdgermany.de/products/291002035-badheizkorper-sahara-300x1800-mm-chrome-gerade-mit-seitenanschluss;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_chrome_einzel_30x180_64fb295b-7cb6-4750-ad92-0285bcbb49b2.jpg?v=1786634306;2026-09-04T10:48:07+02:00
291002036;Badheizkörper Sahara 400x1200 mm Chrome gerade mit Seitenanschluss LuxeBath;75.13;100.17;True;25.0;True;készleten;6790;LuxeBath;https://www.ecdgermany.de/products/291002036-badheizkorper-sahara-400x1200-mm-chrome-gerade-mit-seitenanschluss-luxebath;https://cdn.shopify.com/s/files/1/0649/6613/1888/files/Sahara_chrome_einzel_40x120_5027a755-ebcd-4433-a943-b9bf405b2402.jpg?v=1786642132;2026-09-04T10:47:44+02:00
